gn,epoch,area_ha,classified_px,built_up_ha,built_up_pct,green_ha,green_pct,soft_surface_ha,soft_surface_pct
Mount Lavinia,y2018,115.88,11588,51.86,44.75,21.05,18.17,64.02,55.25
Kawdana West,y2018,53.53,5353,30.38,56.75,7.13,13.32,23.15,43.25
Watarappala,y2018,40.26,4026,22.75,56.51,4.54,11.28,17.51,43.49
Wathumulla,y2018,55.6,5560,22.75,40.92,11.35,20.41,32.85,59.08
Wedikanda,y2018,67.91,6791,24.18,35.61,15.98,23.53,43.73,64.39
Mount Lavinia,y2020,115.88,11588,57.63,49.73,18.97,16.37,58.25,50.27
Kawdana West,y2020,53.53,5353,33.66,62.88,5.91,11.04,19.87,37.12
Watarappala,y2020,40.26,4026,24.99,62.07,3.98,9.89,15.27,37.93
Wathumulla,y2020,55.6,5560,27.52,49.5,9.17,16.49,28.08,50.5
Wedikanda,y2020,67.91,6791,29.08,42.82,13.1,19.29,38.83,57.18
Mount Lavinia,y2025,115.88,11588,52.81,45.57,21.41,18.48,63.07,54.43
Kawdana West,y2025,53.53,5353,30.48,56.94,7.03,13.13,23.05,43.06
Watarappala,y2025,40.26,4026,23.87,59.29,4.36,10.83,16.39,40.71
Wathumulla,y2025,55.6,5560,25.06,45.07,10.78,19.39,30.54,54.93
Wedikanda,y2025,67.91,6791,26.72,39.35,15.03,22.13,41.19,60.65
